AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU45_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
0.56,0.4,0.77,1.02,0.0,0.0,0.0,0.0,0.0,0.5,0.96,0.38,0.19,4.33,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.12,0.52,0.89,1.06,0.0,0.0,0.0,0.0,0.0,0.43,1.02,0.38,0.18,4.51,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.48,0.5,0.94,1.11,0.0,0.0,0.0,0.0,0.05,0.51,1.1,0.26,0.27,4.53,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.51,0.21,0.98,1.02,0.0,0.0,0.0,0.0,0.13,0.79,1.18,0.17,0.48,4.35,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.44,0.13,0.92,0.8,0.0,0.0,0.0,0.0,0.13,1.06,1.31,0.0,0.54,4.03,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.31,0.01,0.69,0.74,0.0,0.0,0.0,0.0,0.11,1.36,1.42,0.26,0.54,3.86,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.22,0.0,0.37,0.8,0.0,0.0,0.0,0.0,0.03,1.54,1.64,0.47,0.26,3.91,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.27,0.0,0.33,0.88,0.0,0.0,0.0,0.0,0.1,1.91,1.62,0.53,0.16,3.95,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.24,0.0,0.37,0.75,0.0,0.0,0.0,0.0,0.09,2.07,1.56,0.38,0.03,3.91,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.3,0.0,0.45,0.71,0.0,0.0,0.0,0.0,0.15,2.13,1.39,0.31,0.06,3.87,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.3,0.0,0.35,0.52,0.0,0.0,0.0,0.0,0.16,2.05,1.38,0.48,0.15,3.79,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.44,0.0,0.38,0.6,0.0,0.0,0.0,0.0,0.23,1.89,1.46,0.37,0.12,3.81,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.43,0.0,0.46,0.52,0.0,0.0,0.0,0.0,0.23,1.9,1.42,0.33,0.21,3.84,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.43,0.0,0.51,0.51,0.0,0.0,0.0,0.0,0.27,1.86,1.45,0.2,0.3,3.95,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.38,0.0,0.55,0.31,0.0,0.0,0.0,0.0,0.29,2.09,1.31,0.28,0.47,3.97,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.47,0.0,0.53,0.31,0.0,0.0,0.0,0.0,0.25,2.26,1.32,0.34,0.51,4.25,0.0,1.0,0.0,1.0,0.0,0.0,1.0
